"timestamp_normalizzato","target","evja_temp"
"2021_8_29_16_3",29.501,28.1
"2021_8_29_17_0",29.648,27.7
"2021_8_29_17_1",29.338,26.7
"2021_8_29_17_2",27.141,25.6
"2021_8_29_17_3",25.867,24.7
"2021_8_29_18_0",26.648,25
"2021_8_29_18_1",25.454,24
"2021_8_29_18_2",25.137,23.8
"2021_8_29_18_3",24.351,23.4
"2021_8_29_19_0",23.93,23.1
"2021_8_29_19_1",23.157,22.5
"2021_8_29_19_2",22.456,21.6
"2021_8_29_19_3",21.257,20.4
"2021_8_29_20_0",19.924,19.4
"2021_8_29_20_1",19.044,18.7
"2021_8_29_20_2",18.586,18.2
"2021_8_29_20_3",18.305,17.9
"2021_8_29_21_0",18.264,17.5
"2021_8_29_21_1",17.48,17
"2021_8_29_21_2",17.574,16.8
"2021_8_29_21_3",17.109,16.7
"2021_8_29_22_0",17.342,17
"2021_8_29_22_1",18.133,17.4
"2021_8_29_22_2",18.258,17.3
"2021_8_29_22_3",17.791,17
"2021_8_29_23_0",17.605,16.5
"2021_8_29_23_1",17.488,16.4
"2021_8_29_23_2",17.696,16.6
"2021_8_29_23_3",17.874,16.7
"2021_8_30_0_0",17.647,16.3
"2021_8_30_0_1",17.473,16.5
"2021_8_30_0_2",17.126,16.3
"2021_8_30_0_3",16.863,16.1
"2021_8_30_1_0",16.915,16.2
"2021_8_30_1_1",17.159,16.4
"2021_8_30_1_2",17.186,16.3
"2021_8_30_1_3",17.143,16.2
"2021_8_30_2_0",17.289,16.5
"2021_8_30_2_1",17.454,16.4
"2021_8_30_2_2",17.394,16.4
"2021_8_30_2_3",17.552,16.3
"2021_8_30_3_0",17.176,15.9
"2021_8_30_3_1",16.487,15.4
"2021_8_30_3_2",16.381,15
"2021_8_30_3_3",16.125,14.8
"2021_8_30_4_0",15.955,14.5
"2021_8_30_4_1",15.296,14.2
"2021_8_30_4_2",15.1,14
"2021_8_30_4_3",14.731,13.9
"2021_8_30_5_0",14.414,13.5
"2021_8_30_5_1",14.104,13.5
"2021_8_30_5_2",13.972,13.2
"2021_8_30_5_3",13.442,12.8
"2021_8_30_6_0",13.106,12.5
"2021_8_30_6_1",12.959,12.2
"2021_8_30_6_2",12.8,12.1
"2021_8_30_6_3",12.662,12
"2021_8_30_7_0",13.061,12.3
"2021_8_30_7_1",13.323,12.8
"2021_8_30_7_2",14.283,13.7
"2021_8_30_7_3",15.642,15
"2021_8_30_8_0",17.342,16.3
"2021_8_30_8_1",18.736,17.5
"2021_8_30_8_2",20.327,18.8
"2021_8_30_8_3",21.412,19.7
"2021_8_30_9_0",23.334,20.9
"2021_8_30_9_1",24.6,21.7
"2021_8_30_9_2",26.841,22.4
"2021_8_30_9_3",26.105,23.2
"2021_8_30_10_0",25.752,22.5
"2021_8_30_10_1",22.856,23.3
"2021_8_30_10_2",27.081,24
"2021_8_30_10_3",28.693,25.2
"2021_8_30_11_0",27.688,25.6
"2021_8_30_11_1",27.195,25.3
"2021_8_30_11_2",27.539,25.9
"2021_8_30_11_3",28.371,27.8
"2021_8_30_12_0",29.376,27.4
"2021_8_30_12_1",29.355,26.6
"2021_8_30_12_2",28.892,28.1
"2021_8_30_12_3",29.566,28.1
"2021_8_30_13_0",29.327,28.7
"2021_8_30_13_1",28.818,30.2
"2021_8_30_13_2",28.745,30.8
"2021_8_30_13_3",28.62,31
"2021_8_30_14_0",31.277,29.3
"2021_8_30_14_1",27.736,29.6
"2021_8_30_14_2",29.037,28.2
"2021_8_30_14_3",26.631,29.3
"2021_8_30_15_0",28.549,30.3
"2021_8_30_15_1",31.05,32.4
"2021_8_30_15_2",31.252,30.8
"2021_8_30_15_3",29.911,31.5
"2021_8_30_16_0",29.272,30.4
"2021_8_30_16_1",29.67,29.6
"2021_8_30_16_2",30.073,29
"2021_8_30_16_3",30.386,29.1
"2021_8_30_17_0",29.76,28.4
"2021_8_30_17_1",29.06,28.1
"2021_8_30_17_2",29.135,27.8
"2021_8_30_17_3",28.27,27.3
"2021_8_30_18_0",27.55,25.8
"2021_8_30_18_1",26.289,25.6
"2021_8_30_18_2",26.937,25.8
"2021_8_30_18_3",26.173,24.9
"2021_8_30_19_0",24.446,24
"2021_8_30_19_1",22.845,21.9
"2021_8_30_19_2",20.804,20
"2021_8_30_19_3",19.552,18.9
"2021_8_30_20_0",18.977,18.4
"2021_8_30_20_1",18.435,17.9
"2021_8_30_20_2",18.447,17.8
"2021_8_30_20_3",18.545,17.8
"2021_8_30_21_0",18.441,17.6
"2021_8_30_21_1",18.198,17.4
"2021_8_30_21_2",18.155,17.3
"2021_8_30_21_3",17.996,17.2
"2021_8_30_22_0",17.935,17.1
"2021_8_30_22_1",17.755,17
"2021_8_30_22_2",17.623,16.8
"2021_8_30_22_3",17.422,16.8
"2021_8_30_23_0",17.631,16.9
"2021_8_30_23_1",17.709,16.8
"2021_8_30_23_2",17.287,16.4
"2021_8_30_23_3",16.695,16.1
"2021_8_31_0_0",16.816,15.8
"2021_8_31_0_1",16.015,15.3
"2021_8_31_0_2",16.247,15.3
"2021_8_31_0_3",15.901,15.6
"2021_8_31_1_0",16.234,15.5
"2021_8_31_1_1",15.786,15.1
"2021_8_31_1_2",15.502,15
"2021_8_31_1_3",16.01,15.2
"2021_8_31_2_0",16.248,15.2
"2021_8_31_2_1",15.549,14.9
"2021_8_31_2_2",15.148,14.6
"2021_8_31_2_3",15.072,14.3
"2021_8_31_3_0",14.797,14.2
"2021_8_31_3_1",14.565,14.1
"2021_8_31_3_2",14.46,14.2
"2021_8_31_3_3",15.179,14.6
"2021_8_31_4_0",15.306,14.8
"2021_8_31_4_1",15.115,14.7
"2021_8_31_4_2",15.143,14.7
"2021_8_31_4_3",15.173,14.6
"2021_8_31_5_0",14.716,14.3
"2021_8_31_5_1",14.798,14.5
"2021_8_31_5_2",15.494,14.7
"2021_8_31_5_3",14.874,14.4
"2021_8_31_6_0",14.737,14
"2021_8_31_6_1",14.303,13.8
"2021_8_31_6_2",13.957,13.5
"2021_8_31_6_3",13.951,13.5
"2021_8_31_7_0",14.502,14
"2021_8_31_7_1",15.336,14.7
"2021_8_31_7_2",16.324,15.6
"2021_8_31_7_3",17.356,16.9
"2021_8_31_8_0",18.14,17.1
"2021_8_31_8_1",18.12,18
"2021_8_31_8_2",20.353,18.8
"2021_8_31_8_3",19.645,18.9
"2021_8_31_9_0",20.207,18.7
"2021_8_31_9_1",19.39,18.7
"2021_8_31_9_2",19.993,19
"2021_8_31_9_3",20.731,19.6
"2021_8_31_10_0",22.036,20.6
"2021_8_31_10_1",21.443,20.7
"2021_8_31_10_2",24.448,23.1
"2021_8_31_10_3",23.487,23.9
"2021_8_31_11_0",27.341,25
"2021_8_31_11_1",27.601,25.8
"2021_8_31_11_2",27.924,26.3
"2021_8_31_11_3",29.124,25.6
"2021_8_31_12_0",32.195,27.2
"2021_8_31_12_1",30.654,27.9
"2021_8_31_12_2",32.701,29.1
"2021_8_31_12_3",32.626,29
"2021_8_31_13_0",29.594,28.1
"2021_8_31_13_1",28.653,29.8
"2021_8_31_13_2",27.819,31.1
"2021_8_31_13_3",28.085,30.5
"2021_8_31_14_0",28.438,31.4
"2021_8_31_14_1",28.362,31.1
"2021_8_31_14_2",28.014,30.4
"2021_8_31_14_3",25.563,30.3
"2021_8_31_15_0",27.986,31.1
"2021_8_31_15_1",32.251,32.3
"2021_8_31_15_2",30.065,31.6
"2021_8_31_15_3",26.982,31
"2021_8_31_16_0",29.18,30.1
"2021_8_31_16_1",32.554,30.4
"2021_8_31_16_2",32.221,30.3
"2021_8_31_16_3",30.128,30.3
"2021_8_31_17_0",30.957,29.4
"2021_8_31_17_1",30.705,29.6
"2021_8_31_17_2",25.887,25.5
"2021_8_31_17_3",22.438,22.9
"2021_8_31_18_0",21.334,21.6
"2021_8_31_18_1",21.8,22.1
"2021_8_31_18_2",23.845,23.6
"2021_8_31_18_3",23.48,22.7
"2021_8_31_19_0",23.064,21.8
"2021_8_31_19_1",21.963,20.8
"2021_8_31_19_2",20.872,20
"2021_8_31_19_3",20.287,19.3
"2021_8_31_20_0",19.375,18.8
"2021_8_31_20_1",19.142,18.4
"2021_8_31_20_2",18.403,17.9
"2021_8_31_20_3",17.781,17.2
"2021_8_31_21_0",17.469,17.1
"2021_8_31_21_1",17.842,17.2
"2021_8_31_21_2",17.39,16.9
"2021_8_31_21_3",17.089,16.6
"2021_8_31_22_0",16.554,16.2
"2021_8_31_22_1",16.436,16
"2021_8_31_22_2",16.458,16.1
"2021_8_31_22_3",16.667,16.1
"2021_8_31_23_0",16.845,16.2
"2021_8_31_23_1",16.512,15.9
"2021_8_31_23_2",16.686,15.8
"2021_8_31_23_3",16.274,15.7
"2021_9_1_0_0",16.093,15.6
"2021_9_1_0_1",15.849,15.3
"2021_9_1_0_2",15.621,15.1
"2021_9_1_0_3",15.505,15.1
"2021_9_1_1_0",15.317,14.8
"2021_9_1_1_1",15.166,14.7
"2021_9_1_1_2",15.443,14.6
"2021_9_1_1_3",15.055,14.5
"2021_9_1_2_0",14.957,14.5
"2021_9_1_2_1",14.883,14.4
"2021_9_1_2_2",14.864,14.2
"2021_9_1_2_3",14.689,14.1
"2021_9_1_3_0",14.402,13.9
"2021_9_1_3_1",14.217,13.7
"2021_9_1_3_2",14.141,13.6
"2021_9_1_3_3",14.02,13.6
"2021_9_1_4_0",14.029,13.5
"2021_9_1_4_1",13.78,13.4
"2021_9_1_4_2",14.113,13.6
"2021_9_1_4_3",13.765,13.3
"2021_9_1_5_0",13.69,13.2
"2021_9_1_5_1",13.52,13
"2021_9_1_5_2",13.431,13
"2021_9_1_5_3",13.418,12.9
"2021_9_1_6_0",13.24,12.8
"2021_9_1_6_1",13.4,12.7
"2021_9_1_6_2",13.509,12.7
"2021_9_1_6_3",13.428,12.8
"2021_9_1_7_0",13.679,12.9
"2021_9_1_7_1",14.168,13.5
"2021_9_1_7_2",15.1,14.2
"2021_9_1_7_3",15.769,15.2
"2021_9_1_8_0",17.397,16.4
"2021_9_1_8_1",18.571,17.4
"2021_9_1_8_2",20.817,18.7
"2021_9_1_8_3",23.324,20
"2021_9_1_9_0",24.56,21
"2021_9_1_9_1",27.674,22
"2021_9_1_9_2",27.796,22.9
"2021_9_1_9_3",26.81,23.2
"2021_9_1_10_0",29.671,24.3
"2021_9_1_10_1",30.416,25
"2021_9_1_10_2",29.878,25.6
"2021_9_1_9_2",27.796,22.9
"2021_9_1_10_3",31.375,26.9
"2021_9_1_11_0",31.949,27.3
"2021_9_1_11_1",31.187,27.7
"2021_9_1_11_2",30.909,28.2
"2021_9_1_11_3",31.284,28.6
"2021_9_1_12_0",32.404,29.6
"2021_9_1_12_1",32.649,29.6
"2021_9_1_12_2",32.335,29.8
"2021_9_1_12_3",33.057,30.2
"2021_9_1_13_0",30.383,29.2
"2021_9_1_13_1",30.585,30.6
"2021_9_1_13_2",30.602,30.8
"2021_9_1_13_3",26.498,28.6
"2021_9_1_14_0",30.04,30.6
"2021_9_1_14_1",30.167,31.9
"2021_9_1_14_2",29.607,31.4
"2021_9_1_14_3",31.028,32.9
"2021_9_1_15_0",26.219,27.4
"2021_9_1_15_1",28.544,30
"2021_9_1_15_2",29.822,31.5
"2021_9_1_15_3",30.101,32
"2021_9_1_16_0",29.51,30.6
"2021_9_1_16_1",29.796,30.2
"2021_9_1_16_2",29.651,29.4
"2021_9_1_16_3",29.501,29.2
"2021_9_1_17_0",29.643,28.4
"2021_9_1_17_1",30.181,28.3
"2021_9_1_17_2",28.627,27.5
"2021_9_1_17_3",28.493,26.9
"2021_9_1_18_0",29.11,26.6
"2021_9_1_18_1",27.378,26
"2021_9_1_18_2",26.552,25.5
"2021_9_1_18_3",25.469,24.9
"2021_9_1_19_0",24.466,24
"2021_9_1_19_1",23.561,22.8
"2021_9_1_19_2",22.309,21.7
"2021_9_1_19_3",21.352,20.8
"2021_9_1_20_0",20.527,20
"2021_9_1_20_1",19.564,19.3
"2021_9_1_20_2",19.319,18.8
"2021_9_1_20_3",18.732,18.4
"2021_9_1_21_0",18.255,18.1
"2021_9_1_21_1",18.082,17.7
"2021_9_1_21_2",18.378,17.6
"2021_9_1_21_3",18.32,17.5
"2021_9_1_22_0",17.772,17.1
"2021_9_1_22_1",17.375,16.7
"2021_9_1_22_2",17.159,16.5
"2021_9_1_22_3",16.735,16.3
"2021_9_1_23_0",16.726,16.1
